schema_context,column,check,check_number,failure_case,index
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-10-09,1931
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-10-09,1930
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-10-09,1929
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-10-09,1928
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-10-09,1927
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-10-09,1925
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-10-08,1913
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-10-09,1924
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-10-09,1923
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-10-09,1922
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-10-09,1921
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-10-09,1920
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-10-09,1919
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-10-09,1918
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-10-09,1917
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-10-09,1916
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-10-08,1915
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-10-08,1914
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-10-07,1884
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-10-07,1882
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-10-05,1827
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-10-07,1881
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-10-06,1852
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-10-06,1851
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-10-06,1850
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-10-06,1849
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-10-06,1848
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-10-05,1847
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-10-05,1846
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-10-05,1845
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-10-05,1844
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-10-05,1843
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-10-05,1842
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-10-05,1841
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-10-05,1840
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-10-05,1839
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-10-05,1838
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-10-05,1837
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-10-05,1836
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-10-05,1835
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-10-05,1834
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-10-05,1833
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-10-05,1832
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-10-05,1831
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-10-05,1830
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-10-05,1829
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-10-05,1828
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-10-06,1853
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-10-06,1854
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-10-06,1855
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-10-06,1869
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-10-07,1880
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-10-07,1879
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-10-07,1878
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-10-07,1877
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-10-07,1876
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-10-07,1875
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-10-07,1874
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-10-07,1873
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-10-06,1872
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-10-06,1871
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-10-06,1870
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-10-06,1868
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-10-06,1856
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-10-06,1867
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-10-06,1866
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-10-06,1865
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-10-06,1864
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-10-06,1863
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-10-06,1862
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-10-06,1861
Column,trade_date,less_than_or_equal_to(2025-09-19 00:00:00),0,2025-10-06,1860
